unitid,school_name,state,city,has_ia,ia_program_name,cost_model,price,source_url,confidence,notes,data_source,quality_tier,consolidated_at
100654,Alabama A & M University,AL,Normal,yes,Bulldog Digital Access Program,flat fee (12+ cr) or per-cr (part-time); 1st/2nd year courses; digital day 1; follett partnership; auto-charged; opt-out via follett portal (all or nothing),,https://aamu.edu,likely,AAMU: Bulldog Digital Access. Follett partnership. Flat fee 12+ cr or per-cr. 1st/2nd year. All-or-nothing opt-out via Follett.,verified_dataset,GOLD,2026-03-10 17:25
102669,Alaska Pacific University,AK,Anchorage,no,N/A,traditional purchase,,https://alaskapacific.edu,likely,No formal IA found. Small private university.,verified_dataset,GOLD,2026-03-10 17:25
102711,Alaska Vocational Technical Center,AK,Seward,yes,Books and Supplies System,per-course,"Varies by program (e.g., $422 to $4,220)",https://avtec.edu/tuition-and-fees,HIGH,"AVTEC automatically purchases and provides all required books and supplies for students by the first day of training, billing the cost as a program-specific Books/Materials fee.",gemini_cli,GOLD,2026-03-10 17:25
108807,Allan Hancock College,CA,Santa Maria,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
109208,American River College,CA,Sacramento,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
109350,Antelope Valley Community College District,CA,Lancaster,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
245847,Antioch University-Santa Barbara,CA,Santa Barbara,yes,Zero Textbook Cost (ZTC) / Inclusive Access (varies by college),"mixed: ztc degrees (no textbook cost via oer), some colleges have ia/ea per-unit charges; $115m state ztc funding; libretexts system contract; opt-out where ia exists; new first-day access regs july 2025",,https://cccco.edu; https://asccc-oeri.org,likely,CA CC system: $115M ZTC program. OER-focused. Some colleges also have IA (e.g. Merced $25/unit EA). New regs July 2025 mandate first-day access. ASCCC concerns about IA opt-out models. ZTC pathways by Fall 2026.,verified_dataset,GOLD,2026-03-10 17:25
103954,Arizona Academy of Beauty,AZ,Tucson,yes,Pivot Point LAB,flat-rate,$300.00,https://www.arizonaacademy.com/,HIGH,"Arizona Academy of Beauty (now closed) utilized the Pivot Point LAB digital platform as its primary curriculum delivery system, charging a flat $300 fee for day-one digital access to all textbooks and interactive materials.",gemini_cli,GOLD,2026-03-10 17:25
10415109,Arizona State University - Cochise,AZ,Sierra Vista,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu; https://bkstr.com,likely,ASU branch. Shares ASU Inclusive Access program. 41%+ courses. Digital via Canvas.,verified_dataset,GOLD,2026-03-10 17:25
10415105,Arizona State University - Lake Havasu,AZ,Lake Havasu City,yes,ASU Inclusive Access,per-course reduced price; auto-charged; digital via canvas; opt-out,,https://asu.edu,likely,ASU branch. Shares ASU Inclusive Access program.,verified_dataset,GOLD,2026-03-10 17:25
